words,Type,surp_UD,surp_HD,item_id,cond
ने,,0.17287,0.31225,6,d
काफी,,0.61255,0.57855,6,d
पुरानी,,0.28155,0.3563,6,d
है,,0.61258,0.51914,6,d
।,,0.13218,0.02457,6,d
वह,,0.0007,0.10484,7,a
आदमी,,0.19437,0.89087,7,a
जिसने,,0.00979,0.05765,7,a
स्कूटर,,1.09453,0.57737,7,a
बड़ी,,0.04658,0.52236,7,a
मेहनत,,0.62905,2.45678,7,a
से,,0.01552,0.12406,7,a
साफ,,0.05187,0.5266,7,a
की,,0.62071,0.1937,7,a
थी,,0.00366,0.00392,7,a
पुराना,,0.17739,0.24364,7,a
कर्मचारी,,0.22874,0.63399,7,a
है,,0.47788,0.90142,7,a
।,,0.52572,0.20911,7,a
वह,,0.0007,0.10484,7,b
आदमी,,0.19437,0.89087,7,b
जिसने,,0.00979,0.05765,7,b
बड़ी,,0.09683,0.51819,7,b
मेहनत,,0.96221,1.79406,7,b
से,,0.01503,0.12406,7,b
साफ,,0.05019,0.5266,7,b
की,,0.64953,0.1937,7,b
थी,,0.00366,0.00392,7,b
स्कूटर,,0.1593,0.1862,7,b
पुराना,,0.22129,0.33684,7,b
कर्मचारी,,0.2495,0.64834,7,b
है,,0.47788,0.90142,7,b
।,,0.52572,0.20911,7,b
वह,,0.0007,0.10484,7,c
स्कूटर,,0.19435,0.88197,7,c
जिसको,,0.00976,0.05753,7,c
उस,,0.02457,0.08714,7,c
आदमी,,0.64428,1.16663,7,c
ने,,0.01598,0.15734,7,c
बड़ी,,0.03317,0.49489,7,c
मेहनत,,0.49434,2.49034,7,c
से,,0.01552,0.12406,7,c
साफ,,0.05187,0.5266,7,c
किया,,0.83359,0.17779,7,c
था,,0.00296,0.00371,7,c
बैटरी,,0.15649,0.57037,7,c
से,,0.26559,0.31596,7,c
चलती,,0.46227,0.2075,7,c
है,,0.06485,0.13697,7,c
।,,0.67976,0.47202,7,c
वह,,0.0007,0.10484,7,d
स्कूटर,,0.19435,0.88197,7,d
जिसको,,0.00976,0.05753,7,d
बड़ी,,0.09692,0.51819,7,d
मेहनत,,0.96283,1.79251,7,d
से,,0.01503,0.12406,7,d
साफ,,0.05019,0.5266,7,d
किया,,0.73377,0.17779,7,d
था,,0.00296,0.00371,7,d
उस,,0.19496,0.77828,7,d
आदमी,,0.18699,0.58538,7,d
ने,,0.17264,0.3109,7,d
बैटरी,,0.66223,0.89796,7,d
से,,0.12279,0.26975,7,d
चलती,,0.84733,0.24032,7,d
है,,0.06485,0.13697,7,d
।,,0.67976,0.47202,7,d
वह,,0.00054,0.03664,8,a
माली,,0.12543,0.47577,8,a
जिसने,,0.02407,0.36759,8,a
लकड़ी,,1.20355,0.5322,8,a
बहुत,,0.05829,0.13633,8,a
दिलचस्पी,,0.62153,4.02857,8,a
से,,0.01575,0.11257,8,a
रखी,,1.99679,0.12308,8,a
थी,,0.00267,0.00471,8,a
बहुत,,0.1116,0.38529,8,a
बूढ़ा,,0.18771,0.36731,8,a
है,,0.60797,0.5165,8,a
।,,0.09661,0.02392,8,a
वह,,0.0007,0.10484,8,b
माली,,0.19436,0.88503,8,b
जिसने,,0.00976,0.05763,8,b
बहुत,,0.0819,0.12019,8,b
दिलचस्पी,,0.86012,1.71905,8,b
से,,0.01525,0.12449,8,b
रखी,,1.35018,0.16805,8,b
थी,,0.00267,0.00471,8,b
लकड़ी,,0.1419,0.66318,8,b
बहुत,,0.41585,0.63469,8,b
बूढ़ा,,0.18972,0.37458,8,b
है,,0.60797,0.5165,8,b
।,,0.09661,0.02392,8,b
वह,,0.0007,0.10484,8,c
लकड़ी,,0.19441,0.88503,8,c
जिसको,,0.00976,0.05763,8,c
उस,,0.02457,0.08714,8,c
माली,,0.64441,1.15604,8,c
ने,,0.01598,0.15816,8,c
बहुत,,0.0363,0.1337,8,c
दिलचस्पी,,0.46703,2.61947,8,c
से,,0.01575,0.12449,8,c
रखा,,1.56541,0.16781,8,c
था,,0.00264,0.00443,8,c
बहुत,,0.11138,0.38472,8,c
विचित्र,,0.18747,0.36713,8,c
है,,0.60792,0.51649,8,c
।,,0.09654,0.02388,8,c
वह,,0.0007,0.10484,8,d
लकड़ी,,0.19441,0.88503,8,d
जिसको,,0.00976,0.05763,8,d
बहुत,,0.08197,0.12019,8,d
दिलचस्पी,,0.86067,1.71905,8,d
से,,0.01525,0.12449,8,d
रखा,,1.33132,0.16781,8,d
था,,0.00264,0.00443,8,d
उस,,0.22188,0.67419,8,d
माली,,0.1722,0.66597,8,d
ने,,0.17273,0.31225,8,d
बहुत,,0.56996,0.70468,8,d
विचित्र,,0.23607,0.3847,8,d
है,,0.60792,0.51649,8,d
।,,0.09654,0.02388,8,d
वह,,0.0007,0.10484,9,a
किसान,,0.19563,0.88503,9,a
जिसने,,0.00975,0.05763,9,a
फसल,,1.09348,0.58196,9,a
कल,,0.88648,0.60546,9,a
सुबाह,,0.01407,0.27197,9,a
मैदान,,2.65364,3.72797,9,a
में,,0.01205,0.11458,9,a
काटी,,1.12409,0.16599,9,a
थी,,0.00268,0.00475,9,a
बहुत,,0.11204,0.38874,9,a
मेहनती,,0.1882,0.36992,9,a
है,,0.60821,0.5165,9,a
।,,0.09693,0.02397,9,a
वह,,0.0007,0.10484,9,b
किसान,,0.19563,0.88503,9,b
जिसने,,0.00975,0.05763,9,b
कल,,1.0966,0.52839,9,b
सुबाह,,0.00963,0.26848,9,b
मैदान,,1.99622,2.9283,9,b
में,,0.01205,0.11458,9,b
काटी,,1.12409,0.16599,9,b
थी,,0.00268,0.00475,9,b
फसल,,0.14251,0.66873,9,b
बहुत,,0.41635,0.63814,9,b
मेहनती,,0.19021,0.37719,9,b
है,,0.60821,0.5165,9,b
।,,0.09693,0.02397,9,b
वह,,0.0007,0.10484,9,c
फसल,,0.19445,0.88503,9,c
जिसको,,0.00975,0.05763,9,c
उस,,0.02457,0.08714,9,c
किसान,,0.6402,1.15604,9,c
ने,,0.01597,0.15816,9,c
कल,,0.67189,0.57673,9,c
सुबाह,,0.00716,0.23837,9,c
मैदान,,3.58722,3.82137,9,c
में,,0.01205,0.11458,9,c
काटा,,1.12347,0.16599,9,c
था,,0.00266,0.00447,9,c
काफी,,0.11234,0.30172,9,c
महंगी,,0.18806,0.36966,9,c
है,,0.608,0.5165,9,c
।,,0.09692,0.02397,9,c
वह,,0.0007,0.10484,9,d
फसल,,0.19445,0.88503,9,d
जिसको,,0.00975,0.05763,9,d
कल,,1.09608,0.52839,9,d
सुबाह,,0.00963,0.26848,9,d
मैदान,,1.99626,2.9283,9,d
