item	roi	word	surprisal	retrieval,surprisal
112	12	जापान	0.73820	300.6896972323166,0.69947
112	13	में	0.34856	167.9256588958715,0.58322
112	14	बनती	0.48321	441.92246678077026,0.12864
112	15	है।	0.80137	286.4082427219332,0.56013
114	1	वह	0.00071	51.0,0.10484
114	2	लड़का	0.20139	174.30855296529043,0.88503
114	3	जिसने	0.00893	51.00000000000003,0.05763
114	4	मोटरसाइकिल	1.16987	196.6171059305808,0.58196
114	5	पिछले	0.04408	51.0,0.51162
114	6	हफते	0.95921	551.0316642945904,0.26661
114	7	खरीदी	0.07626	145.61710593058092,0.02274
114	8	थी	0.24179	123.30855296529035,0.39291
114	9	डाक्टरी	0.30727	393.0409181668456,0.87882
114	10	की	0.21586	123.30855296529035,0.29567
114	11	पढ़ाई	0.48358	487.7538855132552,0.21183
114	12	कर	0.08391	145.6171059305807,0.22739
114	13	रहा	0.13419	298.1699580311133,0.22618
114	14	है।	0.82102	336.0060925379539,0.55345
116	1	वह	0.00071	51.0,0.10484
116	2	लड़का	0.20139	174.30855296529043,0.88503
116	3	जिसने	0.00893	51.00000000000003,0.05763
116	4	पिछले	0.08825	51.0,0.5069
116	5	हफते	0.99636	537.5364587679538,0.20993
116	6	खरीदी	0.07626	145.6171059305808,0.02274
116	7	थी	0.24179	123.30855296529046,0.39291
116	8	मोटरसाइकिल	0.33576	265.0136393889484,0.76837
116	9	डाक्टरी	0.28515	308.4281574003503,0.7402
116	10	की	0.14135	123.30855296529035,0.24611
116	11	पढ़ाई	0.67217	514.1635159545781,0.25021
116	12	कर	0.08391	145.6171059305807,0.22739
116	13	रहा	0.13419	298.1699580311133,0.22618
116	14	है।	0.82102	343.2840709894858,0.55345
118	1	वह	0.00071	51.0,0.10484
118	2	मोटरसाइकिल	0.20168	174.30855296529043,0.88503
118	3	जिसको	0.00892	51.00000000000003,0.05763
118	4	उस	0.02087	51.0,0.08714
118	5	लड़के	0.65505	196.6171059305808,1.15604
118	6	ने	0.01345	123.30855296529046,0.15816
118	7	पिछले	0.03237	101.0,0.484
118	8	हफते	1.18670	779.8074791568455,0.25869
118	9	खरीदा	0.07625	145.61710593058092,0.02273
118	10	था	0.23958	123.30855296529035,0.3837
118	11	बजाज	0.34710	265.0136393889484,0.60481
118	12	की	0.66864	145.6171059305807,0.70591
118	13	नई	0.31086	381.05321237998214,0.39323
118	14	पेशकश	0.28020	470.40202624659287,0.69007
118	15	है।	0.58941	277.1966827888409,0.24918
120	1	वह	0.00071	51.0,0.10484
120	2	मोटरसाइकिल	0.20168	174.30855296529043,0.88503
120	3	जिसको	0.00892	51.00000000000003,0.05763
120	4	पिछले	0.08833	51.0,0.5069
120	5	हफते	0.99641	537.5364587679538,0.20993
120	6	खरीदा	0.07625	145.6171059305808,0.02273
120	7	था	0.23958	123.30855296529046,0.3837
120	8	उस	0.37189	329.027278777897,1.08342
120	9	लड़के	0.20733	316.1734635829996,0.61625
120	10	ने	0.16332	123.30855296529035,0.31225
120	11	बजाज	0.76068	308.6896638218177,0.66105
120	12	की	0.32983	145.6171059305807,0.61328
120	13	नई	0.48244	454.2217188659988,0.41856
120	14	पेशकश	0.28020	574.9968311861317,0.69007
120	15	है।	0.58941	310.9555695262716,0.24918
122	1	वह	0.00071	51.0,0.10484
122	2	बच्ची	0.20169	174.30855296529043,0.88503
122	3	जिसने	0.00892	51.00000000000003,0.05763
122	4	डिब्बी	1.16992	196.6171059305808,0.58196
122	5	धीरे	0.09735	51.0,0.46413
122	6	से	1.02750	51.0,0.74627
122	7	चुपके-चुपके	0.54376	51.0,1.01056
122	8	खोली	1.35142	920.6942901181019,0.36491
122	9	थी	0.00336	123.30855296529035,0.00424
122	10	बहुत	0.14140	197.78527964379396,0.34313
122	11	शरारती	0.21725	215.1786852650116,0.33564
122	12	है।	0.21261	229.858571896822,0.14546
124	1	वह	0.00071	51.0,0.10484
124	2	बच्ची	0.20169	174.30855296529043,0.88503
124	3	जिसने	0.00892	51.00000000000003,0.05763
124	4	धीरे	0.14376	51.0,0.41509
124	5	से	0.75182	51.0,0.75564
124	6	चुपके-चुपके	0.54376	51.0,1.00088
124	7	खोली	1.40159	910.8207512500302,0.30499
124	8	थी	0.00336	123.30855296529035,0.00424
124	9	डिब्बी	0.18739	244.57055928758768,0.59436
124	10	बहुत	0.46429	218.64204918486348,0.59253
124	11	शरारती	0.22003	232.90857074504106,0.34291
124	12	है।	0.21261	245.77234622390552,0.14546
126	1	वह	0.00071	51.0,0.10484
126	2	डिब्बी	0.20173	174.30855296529043,0.88503
126	3	जिसको	0.00893	51.00000000000003,0.05763
126	4	उस	0.02087	51.0,0.08714
126	5	बच्ची	0.65471	196.6171059305808,1.15604
126	6	ने	0.01344	123.30855296529046,0.15816
126	7	धीरे	0.07191	101.0,0.43673
126	8	से	0.57735	51.0,0.79718
126	9	चुपके-चुपके	0.54376	51.0,0.91495
126	10	खोला	1.59562	1161.7183570016923,0.35746
126	11	था	0.00333	123.30855296529035,0.00399
126	12	मेरी	0.22344	244.57055928758746,0.93002
126	13	दादी	0.23450	353.92614755459044,0.84945
126	14	की	0.77179	330.21107217803956,0.13189
126	15	है।	0.47816	257.07280225470595,0.55821
128	1	वह	0.00071	51.0,0.10484
128	2	डिब्बी	0.20173	174.30855296529043,0.88503
128	3	जिसको	0.00893	51.00000000000003,0.05763
128	4	धीरे	0.14388	51.0,0.41509
128	5	से	0.75182	51.0,0.75564
128	6	चुपके-चुपके	0.54376	51.0,1.00088
128	7	खोला	1.39884	910.8207512500302,0.30506
128	8	था	0.00333	123.30855296529035,0.00399
128	9	उस	0.23107	244.57055928758768,0.75305
128	10	बच्ची	0.21970	286.28409836972696,0.61007
128	11	ने	0.16322	123.30855296529057,0.31225
128	12	मेरी	0.65721	391.3709419590168,1.70844
128	13	दादी	0.30063	484.9508335578539,0.64129
128	14	की	0.77179	412.7154261939286,0.13423
128	15	है।	0.47816	296.4342729224568,0.55821
130	1	वह	0.00071	51.0,0.10484
130	2	आदमी	0.20192	174.30855296529043,0.89087
130	3	जिसने	0.00896	51.00000000000003,0.05765
130	4	टाई	1.17147	196.6171059305808,0.58196
130	5	बड़ी	0.04535	51.0,0.52318
130	6	स्टाईल	0.66016	218.92565889587127,2.44861
130	7	से	0.01303	123.30855296529046,0.12386
130	8	पहनी	1.23285	682.1097982404541,0.16962
130	9	हुई	0.00234	123.30855296529035,0.00434
130	10	थी	0.04138	244.57055928758768,0.02438
130	11	हमारे	0.20075	286.28409836972696,0.84252
130	12	कालेज	0.17575	494.3734533629063,0.87691
130	13	में	0.14904	145.6171059305807,0.11021
130	14	काम	0.66194	794.763295236372,0.64815
130	15	करता	0.91413	443.36820569938027,0.17348
130	16	है।	0.51139	311.3006442505766,0.57691
132	1	वह	0.00071	51.0,0.10484
132	2	आदमी	0.20192	174.30855296529043,0.89087
132	3	जिसने	0.00896	51.00000000000003,0.05765
132	4	बड़ी	0.09072	51.0,0.51819
132	5	स्टाईल	0.97622	196.6171059305808,1.79463
132	6	से	0.01269	123.30855296529046,0.12386
132	7	पहनी	1.29433	669.5958665535985,0.16962
132	8	हुई	0.00234	123.30855296529035,0.00434
132	9	थी	0.04138	244.57055928758768,0.02438
132	10	टाई	0.13007	353.92614755459044,0.67168
132	11	हमारे	0.48285	330.21107217803956,1.41542
132	12	कालेज	0.17931	575.2912090188233,0.73839
132	13	में	0.14904	145.6171059305807,0.11021
132	14	काम	0.66194	886.0942875726514,0.64815
132	15	करता	0.91413	479.2255155970033,0.17782
132	16	है।	0.51139	328.7903457444345,0.57691
134	1	वह	0.00071	51.0,0.10484
134	2	टाई	0.20178	174.30855296529043,0.88503
134	3	जिसको	0.00893	51.00000000000003,0.05763
134	4	उस	0.02087	51.0,0.08714
134	5	आदमी	0.65373	196.6171059305808,1.16663
134	6	ने	0.01345	123.30855296529046,0.15734
134	7	बड़ी	0.03343	101.0,0.49489
134	8	स्टाईल	0.53540	218.92565889587127,2.48613
134	9	से	0.01303	145.6171059305808,0.12386
134	10	पहना	1.55620	929.0068749927816,0.16918
134	11	हुआ	0.00232	123.30855296529035,0.0043
134	12	था	0.04160	244.57055928758746,0.02479
134	13	आज	0.13101	421.5681967394539,0.71669
134	14	कल	0.48937	617.0799600377927,0.99211
134	15	फैशन	0.51099	878.7297869450535,0.94968
134	16	में	0.21469	167.9256588958715,0.26075
134	17	है।	0.42098	360.41237744312093,0.23734
136	1	वह	0.00071	51.0,0.10484
136	2	टाई	0.20178	174.30855296529043,0.88503
136	3	जिसको	0.00893	51.00000000000003,0.05763
136	4	बड़ी	0.09080	51.0,0.51819
136	5	स्टाईल	0.97686	196.6171059305808,1.79524
136	6	से	0.01269	123.30855296529046,0.12386
136	7	पहना	1.29491	669.5958665535985,0.16918
136	8	हुआ	0.00232	123.30855296529035,0.0043
136	9	था	0.04160	244.57055928758768,0.02479
136	10	उस	0.21189	286.28409836972696,0.67154
136	11	आदमी	0.16075	408.5300900221796,0.66184
136	12	ने	0.16311	145.6171059305807,0.3109
136	13	आज	0.66316	661.6866476638033,1.04594
136	14	कल	0.85802	844.4246959490938,1.06054
136	15	फैशन	0.51099	1145.5103194316162,0.94968
136	16	में	0.21469	167.9256588958715,0.26075
136	17	है।	0.42098	402.9366306149559,0.23734
138	1	वह	0.00071	51.0,0.10484
138	2	औरत	0.20173	174.30855296529043,0.88503
138	3	जिसने	0.00892	51.00000000000003,0.05763
138	4	लाल	0.01450	51.0,0.19439
138	5	गाड़ी	0.97953	174.30855296529046,1.55161
138	6	पिछले	0.05576	51.0,2.93956
138	7	महीने	0.66666	196.6171059305808,1.13608
138	8	खरीदी	1.73903	781.9005682029325,0.16528
