item	roi	word	surprisal	retrieval
88	6	पेड़	0.85786	356.5628739731528
88	7	के	0.21854	145.61710593058092
88	8	नीचे	0.94146	200.05665267703785
88	9	बनाया	0.25611	428.17890196136955
88	10	था	0.21921	123.30855296529035
88	11	उस	1.41129	150.99999999999977
88	12	बढ़ई	0.59838	697.6261733094061
88	13	ने	0.31225	167.9256588958715
88	14	लकड़ी	0.90681	872.7607537891749
88	15	की	0.25631	722.0460771494477
88	16	है	0.13944	145.6171059305807
88	17	।	0.46937	413.5733416502917
90	1	वह	0.10484	51.0
90	2	दुकानदार	0.88503	174.30855296529043
90	3	जिसने	0.05763	51.00000000000003
90	4	पुरानी	0.50685	51.0
90	5	बन्दूक	1.79008	395.92912833426476
90	6	इस	0.12467	51.0
90	7	साल	1.77759	473.8933696674102
90	8	एक-दो	0.16639	51.0
90	9	बार	1.76796	555.83941772771
90	10	म्यूजियम	0.63209	51.0
90	11	में	0.10869	123.30855296529035
90	12	दिखायी	0.22900	712.1587201831396
90	13	थी	0.00471	123.30855296529035
90	14	मशहूर	0.28760	244.57055928758746
90	15	संग्रहकर्ता	0.73745	556.8522951091809
90	16	है	0.90142	145.6171059305807
90	17	।	0.21062	310.17070549707387
92	1	वह	0.10484	51.0
92	2	दुकानदार	0.88503	174.30855296529043
92	3	जिसने	0.05763	51.00000000000003
92	4	इस	0.10931	51.0
92	5	साल	1.23177	196.6171059305808
92	6	एक-दो	0.31762	51.0
92	7	बार	1.22290	218.92565889587127
92	8	म्यूजियम	0.67193	51.0
92	9	में	0.10869	123.30855296529046
92	10	दिखायी	0.33835	1094.6169214665106
92	11	थी	0.00471	123.30855296529035
92	12	पुरानी	0.29573	197.78527964379373
92	13	बन्दूक	0.73782	471.8934263250567
92	14	मशहूर	0.60076	337.80219417328544
92	15	संग्रहकर्ता	0.74390	808.8180769915384
92	16	है	0.90142	145.61710593058115
92	17	।	0.21062	348.72160807621003
94	1	वह	0.10484	51.0
94	2	बन्दूक	0.88503	174.30855296529043
94	3	जिसको	0.05763	51.00000000000003
94	4	उस	0.08714	51.0
94	5	दुकानदार	1.15604	196.6171059305808
94	6	ने	0.15816	123.30855296529046
94	7	इस	0.12507	101.0
94	8	साल	2.29641	517.2243503859914
94	9	एक-दो	0.31762	51.0
94	10	बार	1.22290	241.2342118611616
94	11	म्यूजियम	0.67193	51.0
94	12	में	0.10869	145.61710593058092
94	13	दिखाया	0.33783	1160.673393703204
94	14	था	0.00442	123.30855296529035
94	15	अंग्रेज़ो	0.34696	197.78527964379373
94	16	के	0.62371	167.9256588958715
94	17	ज़माने	0.76625	675.1700983153169
94	18	की	0.25204	190.23421186116138
94	19	है	0.91122	257.6197117409447
94	20	।	0.21454	332.16495917699467
96	1	वह	0.10484	51.0
96	2	बन्दूक	0.88503	174.30855296529043
96	3	जिसको	0.05763	51.00000000000003
96	4	इस	0.10931	51.0
96	5	साल	1.23177	196.6171059305808
96	6	एक-दो	0.31762	51.0
96	7	बार	1.22290	218.92565889587127
96	8	म्यूजियम	0.67193	51.0
96	9	में	0.10869	123.30855296529046
96	10	दिखाया	0.33783	1094.6169214665106
96	11	था	0.00442	123.30855296529035
96	12	उस	0.67385	101.0
96	13	दुकानदार	0.66618	658.5276425675279
96	14	ने	0.31225	145.6171059305807
96	15	अंग्रेज़ो	0.69518	308.28195720952135
96	16	के	0.53993	167.9256588958715
96	17	ज़माने	0.79090	963.646465450156
96	18	की	0.25374	467.6827013775064
96	19	है	0.13944	145.6171059305807
96	20	।	0.46682	378.60810481925364
98	1	वह	0.10484	51.0
98	2	प्रोफेसर	0.88503	174.30855296529043
98	3	जिसने	0.05763	51.00000000000003
98	4	पहेली	0.40182	51.0
98	5	क्लास	2.29379	395.92912833426476
98	6	में	0.11223	123.30855296529046
98	7	सुलझाई	0.16723	491.9260141593554
98	8	थी	0.00475	123.30855296529035
98	9	गणित	0.66873	291.35583893138164
98	10	बहुत	0.63814	221.93652087260534
98	11	अच्छा	0.25556	235.83929199468594
98	12	पढ़ाते	0.11303	345.9265284071489
98	13	हैं	0.17020	145.6171059305807
98	14	।	0.45241	322.58788746753817
100	1	वह	0.10484	51.0
100	2	प्रोफेसर	0.88503	174.30855296529043
100	3	जिसने	0.05763	51.00000000000003
100	4	क्लास	0.58265	51.0
100	5	में	0.11020	123.30855296529046
100	6	सुलझाई	0.22512	644.0268564457308
100	7	थी	0.00475	123.30855296529035
100	8	पहेली	0.56392	197.78527964379373
100	9	गणित	0.80014	343.53605579503414
100	10	बहुत	0.69605	237.43621723153638
100	11	अच्छा	0.25556	249.935257985406
100	12	पढ़ाते	0.11303	372.1526156562768
100	13	हैं	0.17020	145.6171059305807
100	14	।	0.45241	334.29503922610684
102	1	वह	0.10484	51.0
102	2	पहेली	0.88503	174.30855296529043
102	3	जिसको	0.05763	51.00000000000003
102	4	उस	0.08714	51.0
102	5	प्रोफेसर	1.15604	196.6171059305808
102	6	ने	0.15816	123.30855296529046
102	7	क्लास	0.63462	101.0
102	8	में	0.11566	145.6171059305808
102	9	सुलझाया	0.27741	895.6554648046501
102	10	था	0.00447	123.30855296529035
102	11	बहुत	0.38840	197.78527964379396
102	12	कठिन	0.36992	215.17868526501115
102	13	थी	0.35215	308.717143793644
102	14	।	0.03296	247.07922868292553
104	1	वह	0.10484	51.0
104	2	पहेली	0.88503	174.30855296529043
104	3	जिसको	0.05763	51.00000000000003
104	4	क्लास	0.58265	51.0
104	5	में	0.11020	123.30855296529046
104	6	सुलझाया	0.22512	644.0268564457308
104	7	था	0.00447	123.30855296529035
104	8	उस	0.66822	101.0
104	9	प्रोफेसर	0.67069	466.22435038599156
104	10	ने	0.31225	145.61710593058092
104	11	बहुत	0.70836	299.14719445957144
104	12	कठिन	0.38749	260.8367708352357
104	13	थी	0.35215	392.73895559820494
104	14	।	0.03296	286.8008896329975
106	1	वह	0.10484	51.0
106	2	ग्राहक	0.88503	174.30855296529043
106	3	जिसने	0.05763	51.00000000000003
106	4	कमीज	0.58196	51.0
106	5	बहुत	0.13633	51.0
106	6	जल्दीबाजी	2.57874	799.7877517456631
106	7	में	0.11141	123.30855296529035
106	8	खरीदी	0.16861	513.4890444180542
106	9	थी	0.00476	123.30855296529035
106	10	इस	0.83285	101.0
106	11	दुकान	0.62649	560.8380650761628
106	12	में	0.23444	145.6171059305807
106	13	कई	1.20706	406.48613110106544
106	14	बार	0.74132	743.3433083411296
106	15	आ	0.23788	442.812029112185
106	16	चुका	0.22037	145.6171059305807
106	17	है	0.16310	298.1699580311133
106	18	।	0.48215	375.43665786569
108	1	वह	0.10484	51.0
108	2	ग्राहक	0.88503	174.30855296529043
108	3	जिसने	0.05763	51.00000000000003
108	4	बहुत	0.12019	51.0
108	5	जल्दीबाजी	1.71905	395.92912833426476
108	6	में	0.11141	123.30855296529046
108	7	खरीदी	0.16861	491.9260141593554
108	8	थी	0.00476	123.30855296529035
108	9	कमीज	0.67070	291.35583893138164
108	10	इस	1.13545	101.0
108	11	दुकान	0.65582	635.0019812971013
108	12	में	0.23444	145.6171059305807
108	13	कई	1.20706	438.6802583175763
108	14	बार	0.74132	820.2499797332894
108	15	आ	0.23788	472.99402734576006
108	16	चुका	0.22037	145.6171059305807
108	17	है	0.16310	298.1699580311133
108	18	।	0.48215	389.02697913959946
110	1	वह	0.10484	51.0
110	2	कमीज	0.88503	174.30855296529043
110	3	जिसको	0.05763	51.00000000000003
110	4	उस	0.08714	51.0
110	5	ग्राहक	1.15604	196.6171059305808
110	6	ने	0.15816	123.30855296529046
110	7	बहुत	0.13370	101.0
110	8	जल्दीबाजी	2.61947	912.9640572457325
110	9	में	0.11141	145.61710593058092
110	10	खरीदा	0.16863	535.7826439769149
110	11	था	0.00448	123.30855296529035
110	12	जापान	0.35125	197.78527964379373
110	13	में	0.67226	167.92565889587104
110	14	बनती	0.11270	359.05669943843895
110	15	है	0.13908	145.6171059305807
110	16	।	0.46845	306.6892662128621
112	1	वह	0.10484	51.0
112	2	कमीज	0.88503	174.30855296529043
112	3	जिसको	0.05763	51.00000000000003
112	4	बहुत	0.12019	51.0
112	5	जल्दीबाजी	1.71905	395.92912833426476
112	6	में	0.11141	123.30855296529046
112	7	खरीदा	0.16863	491.9260141593554
112	8	था	0.00448	123.30855296529035
112	9	उस	0.66639	101.0
